12.41,17.95,17.58
13.19,17.61,18.01
13.44,18.27,17.92
11.89,16.71,18.16
13.09,18.96,17.96
12.77,16.89,18.01
12.67,17.37,17.71
13.46,16.79,17.03
12.12,18.61,17.18
13.07,17.09,17.06
12.74,17.38,18.41
13.74,17.43,17.82
14.19,17.27,19.05
13.93,17.05,18.43
13.87,17.29,17.19
13.68,17.28,17.96
13.93,17.98,17.06
11.87,18.58,18.29
13.49,17.14,19.23
12.16,18.7,17.13
12.55,17.72,18.7
12.99,18.7,17.13
13.57,18.42,18.3
13.68,17.02,18.18
12.96,18.91,18.43
12.7,17.93,18.58
13.18,17.55,17.39
13.,17.33,17.88
11.84,18.84,17.47
13.27,18.99,18.24
13.31,18.24,19.21
13.41,17.03,18.46
13.37,18.37,17.52
13.66,18.3,17.86
13.09,17.4,18.1
13.96,18.19,18.32
12.79,18.71,18.46
13.84,18.24,18.83
12.01,17.43,17.36
12.36,17.23,18.51
12.2,17.7,18.88
13.02,18.37,17.2
14.01,17.6,18.57
13.71,17.24,17.92
13.69,18.67,17.39
12.91,18.56,18.46
12.59,17.9,18.39
13.27,18.4,18.81
13.19,18.42,17.86
12.83,18.41,18.04
12.56,17.47,18.58
12.17,18.85,18.11
13.71,18.85,18.34
14.29,18.89,18.22
13.51,17.17,18.63
12.83,18.05,18.47
13.33,18.64,18.16
14.28,18.63,18.41
13.2,17.84,17.59
13.98,18.48,17.52
11.9,17.19,18.76
12.55,17.97,17.84
13.09,18.65,18.94
12.87,18.97,18.51
14.02,18.62,18.04
14.18,17.74,18.01
12.72,17.47,18.87
12.84,17.96,18.93
13.24,17.71,18.
13.56,17.67,18.78
13.85,17.62,17.87
12.98,18.8,18.
12.46,17.91,18.75
13.61,17.29,18.02
13.28,17.61,18.16
12.04,17.6,17.12
13.03,19.24,18.92
12.06,18.46,17.89
14.01,18.55,17.24
13.94,16.91,17.87
12.82,17.33,18.5
13.06,18.52,17.81
13.02,18.96,17.82
12.62,18.63,17.5
13.96,17.5,17.39
13.96,17.37,17.16
13.16,18.29,18.14
12.82,17.06,18.13
13.74,17.91,18.82
12.78,18.13,17.5
12.26,18.08,17.62
12.58,18.32,17.14
13.75,17.19,17.04
12.26,18.85,17.25
13.22,17.57,17.78
13.86,17.94,18.16
13.28,18.,17.24
13.51,17.39,18.51
12.44,18.13,18.36
12.56,17.92,18.46
12.4,17.17,19.18
11.84,18.37,18.94
12.3,18.29,18.81
12.1,18.34,18.05
13.79,17.98,18.06
13.64,18.05,18.06
13.29,18.47,17.99
13.54,17.85,17.7
12.07,18.79,18.92
12.23,18.38,17.69
12.95,17.35,18.85
13.66,17.79,18.25
13.71,18.77,18.77
13.45,17.25,18.91
13.66,18.69,18.89
12.12,18.77,17.9
13.94,18.49,17.3
13.28,17.59,17.96
12.79,17.48,19.22
13.44,18.67,17.11
11.92,18.05,17.02
12.09,17.58,17.29
12.48,17.31,17.2
13.65,18.27,17.76
12.58,18.24,17.01
13.23,17.02,18.77
13.31,17.03,17.34
12.87,17.43,18.66
12.97,18.49,18.24
